id,Departamento,FCTeI,Coofinanciacion,Proyectos,
1,Atlantico,68.571,11.695,10,
2,Bolivar,62.921,4.829,4,
3,Cesar,79.646,15.545,2,
4,Córdoba,160.335,8.687,10,
5,La Guajira,101.957,12.174,10,
6,Magdalena,45.921,1.792,4,
7,Sucre,66.000,19.345,7,
8,Boyaca,29.686,10.940,3,
9,Bogota D.C.,62.034,24.808,6,
10,Cundinamarca,96.659,46.044,15,
11,Norte de Santander,44.953,3.180,1,
12,Santander,79.727,20.650,7,
13,Amazonas,15.141,1.695,8,
14,Caqueta,62.513,18.468,6,
15,Huila,64.886,4.999,14,
16,Putumayo,10.787,76,1,
17,Tolima,60.117,15.725,13,
18,Antioquia,175.685,103.490,27,
19,Caldas,40.380,17.962,8,
20,Quindio,19.010,3.569,5,
21,Risaralda,39.114,20.775,5,
22,Arauca,43.554,23.140,3,
23,Casanare,40.792,6.926,3,
24,Guainia,4.519,0,1,
25,Guaviare,21.489,1.732,6,
26,Meta,37.458,9.957,4,
27,Vaupes,7.176,1.704,5,
28,Vichada,24.725,14.009,6,
29,Cauca,118.899,27.049,18,
30,Choco,72.626,6.440,9,
31,Nariño,88.760,11.579,15,
32,Valle del Cauca,68.910,34.475,13,
